"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row href","tablescraper-selected-row 4","tablescraper-selected-row href 2","tablescraper-selected-row 5","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row href 3","tablescraper-selected-row 8"
"","2011","Newberry College","https://en.wikipedia.org/wiki/Newberry_College","Newberry","https://en.wikipedia.org/wiki/Newberry,_South_Carolina","Inactive","","","","","–20xx ?","South Carolina","https://en.wikipedia.org/wiki/South_Carolina","Tau Tau"
"Upsilon Tau","2012","New Jersey City University","https://en.wikipedia.org/wiki/New_Jersey_City_University","Saint Peter's University","https://en.wikipedia.org/wiki/Saint_Peter%27s_University","Active","104","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:14-140","[","]","","Jersey City","https://en.wikipedia.org/wiki/Jersey_City,_New_Jersey",""
"","","","","","","Inactive","","","","","201x–20xx ?","","","Phi Tau"
"Chi Tau","2011","Chowan University","https://en.wikipedia.org/wiki/Chowan_University","Murfreesboro","https://en.wikipedia.org/wiki/Murfreesboro,_North_Carolina","Active","","","","","","North Carolina","https://en.wikipedia.org/wiki/North_Carolina",""
"Psi Tau","","Emporia State University","https://en.wikipedia.org/wiki/Emporia_State_University","Wichita","https://en.wikipedia.org/wiki/Wichita,_Kansas","Active","","","","","201x ?","Kansas","https://en.wikipedia.org/wiki/Kansas",""
"Omega Tau","March 2, 2012","University of Alabama in Huntsville","https://en.wikipedia.org/wiki/University_of_Alabama_in_Huntsville","Huntsville","https://en.wikipedia.org/wiki/Huntsville,_Alabama","Active","","","","","","Alabama","https://en.wikipedia.org/wiki/Alabama",""
"","","","","","","Inactive","","","","","201x–20xx ?","","","Alpha Upsilon"
"Beta Upsilon","April 5, 2012","Virginia Wesleyan University","https://en.wikipedia.org/wiki/Virginia_Wesleyan_University","Virginia Beach","https://en.wikipedia.org/wiki/Virginia_Beach,_Virginia","Active","","","","","","Virginia","https://en.wikipedia.org/wiki/Virginia",""
"Gamma Upsilon","May 2012","Pleasantville","https://en.wikipedia.org/wiki/Pleasantville,_New_York","New York","https://en.wikipedia.org/wiki/New_York_(state)","Active","172","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-223","[","]","Spring?","","",""
"","","Staten Island","https://en.wikipedia.org/wiki/Staten_Island","New York","https://en.wikipedia.org/wiki/New_York_(state)","Inactive","","","","","201x ?–20xx ?","","","Delta Upsilon"
"","","Penn State Harrisburg","https://en.wikipedia.org/wiki/Penn_State_Harrisburg","Lower Swatara Township","https://en.wikipedia.org/wiki/Lower_Swatara_Township,_Pennsylvania","Inactive","15","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-:7-19","[","]","201x ?–20xx ?","Pennsylvania","https://en.wikipedia.org/wiki/Pennsylvania","Epsilon Upsilon"
"Zeta Upsilon","November 29, 2016","Johnson & Wales University","https://en.wikipedia.org/wiki/Johnson_%26_Wales_University","North Miami","https://en.wikipedia.org/wiki/North_Miami,_Florida","Active","","","","","","Florida","https://en.wikipedia.org/wiki/Florida",""
"","March 23, 2013","Missouri Valley College","https://en.wikipedia.org/wiki/Missouri_Valley_College","Marshall","https://en.wikipedia.org/wiki/Marshall,_Missouri","Inactive","","","","","– 20xx ?","Missouri","https://en.wikipedia.org/wiki/Missouri","Eta Upsilon"
"","March 3, 2013","University of New Haven","https://en.wikipedia.org/wiki/University_of_New_Haven","West Haven","https://en.wikipedia.org/wiki/West_Haven,_Connecticut","Active","","","","","","Connecticut","https://en.wikipedia.org/wiki/Connecticut","Theta Upsilon"
"Iota Upsilon","March 27, 2013","Bethel University","https://en.wikipedia.org/wiki/Bethel_University_(Tennessee)","McKenzie","https://en.wikipedia.org/wiki/McKenzie,_Tennessee","Active","173","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-224","[","]","","Tennessee","https://en.wikipedia.org/wiki/Tennessee",""
"Kappa Upsilon","April 27, 2013","Ramapo College","https://en.wikipedia.org/wiki/Ramapo_College","Mahwah","https://en.wikipedia.org/wiki/Mahwah,_New_Jersey","Active","174","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-225","[","]","","New Jersey","https://en.wikipedia.org/wiki/New_Jersey",""
"Lambda Upsilon","2013","University of Dubuque","https://en.wikipedia.org/wiki/University_of_Dubuque","Dubuque","https://en.wikipedia.org/wiki/Dubuque,_Iowa","Active","","","","","","Iowa","https://en.wikipedia.org/wiki/Iowa",""
"","2013","McDaniel College","https://en.wikipedia.org/wiki/McDaniel_College","Westminster","https://en.wikipedia.org/wiki/Westminster,_Maryland","Inactive","","","","","–20xx ?","Maryland","https://en.wikipedia.org/wiki/Maryland","Mu Upsilon"
"Nu Upsilon","June 30, 2013","California State University, Sacramento","https://en.wikipedia.org/wiki/California_State_University,_Sacramento","Sacramento","https://en.wikipedia.org/wiki/Sacramento,_California","Active","","","","","","California","https://en.wikipedia.org/wiki/California",""
"","April 17, 2014","Oregon State University","https://en.wikipedia.org/wiki/Oregon_State_University","Corvallis","https://en.wikipedia.org/wiki/Corvallis,_Oregon","Inactive","","","","","– 20xx ?","Oregon","https://en.wikipedia.org/wiki/Oregon","Xi Upsilon"
"Omicron Upsilon","October 31, 2019","University of Massachusetts Dartmouth","https://en.wikipedia.org/wiki/University_of_Massachusetts_Dartmouth","Massachusetts","https://en.wikipedia.org/wiki/Massachusetts","Active","175","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-226","[","]","","","",""
"Pi Upsilon","November 9, 2014","Georgetown College","https://en.wikipedia.org/wiki/Georgetown_College","Georgetown","https://en.wikipedia.org/wiki/Georgetown,_Kentucky","Active","","","","","","Kentucky","https://en.wikipedia.org/wiki/Kentucky",""
"Rho Upsilon","2015","University of the Bahamas","https://en.wikipedia.org/wiki/University_of_the_Bahamas","Nassau","https://en.wikipedia.org/wiki/Nassau,_Bahamas","Active","","","","",",","Providence","https://en.wikipedia.org/wiki/New_Providence",""
"Sigma Upsilon","April 18, 2015","Queens University of Charlotte","https://en.wikipedia.org/wiki/Queens_University_of_Charlotte","Charlotte","https://en.wikipedia.org/wiki/Charlotte,_North_Carolina","Active","","","","","","North Carolina","https://en.wikipedia.org/wiki/North_Carolina",""
