"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row href","tablescraper-selected-row 4","tablescraper-selected-row href 2","tablescraper-selected-row 5","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row href 3","tablescraper-selected-row 8"
"Alpha Alpha","1931","Chicago","https://en.wikipedia.org/wiki/Chicago","Illinois","https://en.wikipedia.org/wiki/Illinois","Active","25","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-35","[","]","","","",""
"Beta Alpha","February 13, 1932","Southern University","https://en.wikipedia.org/wiki/Southern_University","Baton Rouge","https://en.wikipedia.org/wiki/Baton_Rouge,_Louisiana","Active","","","","","","Louisiana","https://en.wikipedia.org/wiki/Louisiana",""
"Gamma Alpha","May 14, 1932","Florida A&M University","https://en.wikipedia.org/wiki/Florida_A%26M_University","Tallahassee","https://en.wikipedia.org/wiki/Tallahassee,_Florida","Active","26","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-36","[","]","","Florida","https://en.wikipedia.org/wiki/Florida",""
"Delta Alpha","1945","Texas College","https://en.wikipedia.org/wiki/Texas_College","Tyler","https://en.wikipedia.org/wiki/Tyler,_Texas","Active","","","","","–1950, 1956","Texas","https://en.wikipedia.org/wiki/Texas",""
"Epsilon Alpha","April 15, 1933","Tennessee State University","https://en.wikipedia.org/wiki/Tennessee_State_University","Nashville","https://en.wikipedia.org/wiki/Nashville,_Tennessee","Active","","","","","","Tennessee","https://en.wikipedia.org/wiki/Tennessee",""
"Zeta Alpha","July 16, 1934","North Carolina A&T State University","https://en.wikipedia.org/wiki/North_Carolina_A%26T_State_University","Greensboro","https://en.wikipedia.org/wiki/Greensboro,_North_Carolina","Active","","","","","","North Carolina","https://en.wikipedia.org/wiki/North_Carolina",""
"Eta Alpha","","Kentucky State University","https://en.wikipedia.org/wiki/Kentucky_State_University","Frankfort","https://en.wikipedia.org/wiki/Frankfort,_Kentucky","Active","","","","","193x ?","Kentucky","https://en.wikipedia.org/wiki/Kentucky",""
"Theta Alpha","October 15, 1933","Boston","https://en.wikipedia.org/wiki/Boston","Massachusetts","https://en.wikipedia.org/wiki/Massachusetts","Active","","","","","","","",""
"Iota Alpha","April 2, 1942","Florida Memorial University","https://en.wikipedia.org/wiki/Florida_Memorial_University","Miami Gardens","https://en.wikipedia.org/wiki/Miami_Gardens,_Florida","Active","","","","","","Florida","https://en.wikipedia.org/wiki/Florida",""
"Kappa Alpha","March 23, 1937","University of the District of Columbia","https://en.wikipedia.org/wiki/University_of_the_District_of_Columbia","Washington","https://en.wikipedia.org/wiki/Washington,_D.C.","Active","27","https://en.wikipedia.org/wiki/List_of_Zeta_Phi_Beta_chapters#cite_note-37","[","]","","","",""
