"fn","vcard","vcard 2","vcard href","mw-redirect","mw-redirect href","category","note"
"Omicron Zeta","1999","Colorado State University","https://en.wikipedia.org/wiki/Colorado_State_University","Fort Collins, CO","https://en.wikipedia.org/wiki/Fort_Collins,_CO","Active","Includes Denver Metropolitan area colleges."
"Omicron Eta","1999","Florida Southern College","https://en.wikipedia.org/wiki/Florida_Southern_College","Lakeland, FL","https://en.wikipedia.org/wiki/Lakeland,_FL","Inactive",""
"Omicron Theta","2000","Michigan Technological University","https://en.wikipedia.org/wiki/Michigan_Technological_University","Houghton, MI","https://en.wikipedia.org/wiki/Houghton,_MI","Active",""
"Omicron Iota","2001","Kennesaw State University","https://en.wikipedia.org/wiki/Kennesaw_State_University","Kennesaw, GA","https://en.wikipedia.org/wiki/Kennesaw,_GA","Active",""
"Omicron Kappa","2001","Lehigh University","https://en.wikipedia.org/wiki/Lehigh_University","","","Active","Originally established as a colony of Kappa Gamma in 1987, the Omicron Kappa chapter was charted in 2001 at Lehigh University"
"Omicron Lambda","2001","Auburn University at Montgomery","https://en.wikipedia.org/wiki/Auburn_University_at_Montgomery","Montgomery, AL","https://en.wikipedia.org/wiki/Montgomery,_AL","Active",""
"Omicron Mu","2001","Charleston Southern University","https://en.wikipedia.org/wiki/Charleston_Southern_University","Charleston, SC","https://en.wikipedia.org/wiki/Charleston,_SC","Active",""
"Omicron Nu","2001","Lander University","https://en.wikipedia.org/wiki/Lander_University","Greenwood, SC","https://en.wikipedia.org/wiki/Greenwood,_SC","Active",""
"Omicron Xi","2002","","","Houston, TX","https://en.wikipedia.org/wiki/Houston,_TX","Active",""
"Omicron Omicron","2002","Millsaps College","https://en.wikipedia.org/wiki/Millsaps_College","Jackson, MS","https://en.wikipedia.org/wiki/Jackson,_MS","Active",""
"Omicron Pi","2002","","","Colorado Springs, CO","https://en.wikipedia.org/wiki/Colorado_Springs,_CO","Active","Chapter also includes the , , and"
"Omicron Rho","2003","Midwestern State University","https://en.wikipedia.org/wiki/Midwestern_State_University","Wichita Falls, TX","https://en.wikipedia.org/wiki/Wichita_Falls,_TX","Active",""
"Omicron Sigma","2004","Wake Forest University","https://en.wikipedia.org/wiki/Wake_Forest_University","Winston-Salem, NC","https://en.wikipedia.org/wiki/Winston-Salem,_NC","Active",""
"Omicron Tau","2004","University of Texas at San Antonio","https://en.wikipedia.org/wiki/University_of_Texas_at_San_Antonio","San Antonio, TX","https://en.wikipedia.org/wiki/San_Antonio,_TX","Active",""
"Omicron Upsilon","2005","Loyola University New Orleans","https://en.wikipedia.org/wiki/Loyola_University_New_Orleans","New Orleans, LA","https://en.wikipedia.org/wiki/New_Orleans,_LA","Active",""
"Omicron Phi","2005","Georgia Southern University","https://en.wikipedia.org/wiki/Georgia_Southern_University","Statesboro, GA","https://en.wikipedia.org/wiki/Statesboro,_GA","Active","Formerly, the Iota Pi chapter (chartered 1978) was chartered at Georgia Southern College, later Georgia Southern University."
"Omicron Chi","2005","Florida International University","https://en.wikipedia.org/wiki/Florida_International_University","Miami, FL","https://en.wikipedia.org/wiki/Miami,_FL","Active",""
"Omicron Psi","2005","Florida Gulf Coast University","https://en.wikipedia.org/wiki/Florida_Gulf_Coast_University","Fort Myers, FL","https://en.wikipedia.org/wiki/Fort_Myers,_FL","Active",""
"Omicron Omega","2005","Clayton State University","https://en.wikipedia.org/wiki/Clayton_State_University","Morrow, GA","https://en.wikipedia.org/wiki/Morrow,_GA","Active",""
"Pi Alpha","2005","University of California, Santa Barbara","https://en.wikipedia.org/wiki/University_of_California,_Santa_Barbara","Santa Barbara, CA","https://en.wikipedia.org/wiki/Santa_Barbara,_CA","Active",""
"Pi Beta","2006","California State University, Fresno","https://en.wikipedia.org/wiki/California_State_University,_Fresno","Fresno, CA","https://en.wikipedia.org/wiki/Fresno,_CA","Active",""
"Pi Gamma","2006","Coastal Carolina University","https://en.wikipedia.org/wiki/Coastal_Carolina_University","Conway, SC","https://en.wikipedia.org/wiki/Conway,_SC","Active",""
"Pi Delta","2006","Louisiana Tech University","https://en.wikipedia.org/wiki/Louisiana_Tech_University","Ruston, LA","https://en.wikipedia.org/wiki/Ruston,_LA","Active","Formerly, the Theta Rho Chapter (chartered 1976)."
"Pi Epsilon","2006","Tulane University","https://en.wikipedia.org/wiki/Tulane_University","New Orleans, LA","https://en.wikipedia.org/wiki/New_Orleans,_LA","Inactive",""
"Pi Zeta","2006","Grand Valley State University","https://en.wikipedia.org/wiki/Grand_Valley_State_University","Allendale, MI","https://en.wikipedia.org/wiki/Allendale,_MI","Active",""
"Pi Eta","2007","Delaware State University","https://en.wikipedia.org/wiki/Delaware_State_University","Dover, DE","https://en.wikipedia.org/wiki/Dover,_DE","Active","Originally was the Beta Sigma Chapter, (chartered in 1947) until its letters were retired. Formerly, a part of the Xi Mu Chapter (established there in 1998)."
"Pi Theta","2007","High Point University","https://en.wikipedia.org/wiki/High_Point_University","High Point, NC","https://en.wikipedia.org/wiki/High_Point,_NC","Active",""
"Pi Iota","2007","Southern Polytechnic State University","https://en.wikipedia.org/wiki/Southern_Polytechnic_State_University","Marietta, GA","https://en.wikipedia.org/wiki/Marietta,_GA","Letters Retired","School closed and merged with Kennesaw State University.  Chapter letters retired and all new initiates are officially Omicron Iota."
"Pi Kappa","2008","Barry University","https://en.wikipedia.org/wiki/Barry_University","Miami, FL","https://en.wikipedia.org/wiki/Miami,_FL","Active",""
