"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row href","tablescraper-selected-row 4","tablescraper-selected-row href 2","tablescraper-selected-row 5","reference","reference href","cite-bracket","cite-bracket 2","tablescraper-selected-row 6","tablescraper-selected-row 7","tablescraper-selected-row 8"
"Gamma Psi Lambda","","Asheville","https://en.wikipedia.org/wiki/Asheville,_North_Carolina","North Carolina","https://en.wikipedia.org/wiki/North_Carolina","Inactive","","","","","188","","194x ?–xxxx ?"
"Gamma Omega Lambda","","","","","","Unassigned","","","","","","",""
"","November 15, 1947","Cleveland","https://en.wikipedia.org/wiki/Cleveland","Ohio","https://en.wikipedia.org/wiki/Ohio","Active","145","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-211","[","]","189","Delta Alpha Lambda",""
"","","Hampton","https://en.wikipedia.org/wiki/Hampton,_Virginia","Virginia","https://en.wikipedia.org/wiki/Virginia","Active","111","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:22-174","[","]","190","Delta Beta Lambda","1947"
"","December 20, 1947","Cincinnati","https://en.wikipedia.org/wiki/Cincinnati","Ohio","https://en.wikipedia.org/wiki/Ohio","Active","146","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-212","[","]","191","Delta Gamma Lambda",""
"","January 1, 1947","West Palm Beach","https://en.wikipedia.org/wiki/West_Palm_Beach,_Florida","Florida","https://en.wikipedia.org/wiki/Florida","Active","147","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-213","[","]","192","Delta Delta Lambda",""
"","December 14, 1947","East St. Louis","https://en.wikipedia.org/wiki/East_St._Louis,_Illinois","Illinois","https://en.wikipedia.org/wiki/Illinois","Active","148","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-214","[","]","193","Delta Epsilon Lambda",""
"","","Orangeburg","https://en.wikipedia.org/wiki/Orangeburg,_South_Carolina","South Carolina","https://en.wikipedia.org/wiki/South_Carolina","Active","","","","","194","Delta Zeta Lambda","1948"
"","April 6, 1948","Topeka","https://en.wikipedia.org/wiki/Topeka,_Kansas","Kansas","https://en.wikipedia.org/wiki/Kansas","Active","","","","","195","Delta Eta Lambda",""
"","April 13, 1948","Huntsville","https://en.wikipedia.org/wiki/Huntsville,_Alabama","Alabama","https://en.wikipedia.org/wiki/Alabama","Active","14","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-:11-26","[","]","196","Delta Theta Lambda",""
"","","Columbus","https://en.wikipedia.org/wiki/Columbus,_Georgia","Georgia","https://en.wikipedia.org/wiki/Georgia_(U.S._state)","Active","","","","","197","Delta Iota Lambda","19xx ?"
"","","Florence","https://en.wikipedia.org/wiki/Florence,_South_Carolina","South Carolina","https://en.wikipedia.org/wiki/South_Carolina","Active","","","","","198","Delta Kappa Lambda","19xx ?"
"Delta Lambda Lambda","ed","","","","","Unassign","","","","","","",""
"","","Paterson","https://en.wikipedia.org/wiki/Paterson,_New_Jersey","New Jersey","https://en.wikipedia.org/wiki/New_Jersey","Active","e","https://en.wikipedia.org/wiki/List_of_Alpha_Phi_Alpha_chapters#cite_note-215","[","]","199","Delta Mu Lambda","19xx ?"
"","","Danville","https://en.wikipedia.org/wiki/Danville,_Virginia","Virginia","https://en.wikipedia.org/wiki/Virginia","Active","","","","","200","Delta Nu Lambda","19xx ?"
