"fn","vcard","vcard 2","vcard href","category","reference","reference href","cite-bracket","cite-bracket 2","mw-redirect","mw-redirect href","mw-redirect 2","mw-redirect href 2"
"Theta Lambda","1976","Pace University","https://en.wikipedia.org/wiki/Pace_University","Active","3","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-NYSigmaLinks-3","[","]","","","Manhattan, NY","https://en.wikipedia.org/wiki/Manhattan,_NY"
"Theta Xi","1977","Syracuse University","https://en.wikipedia.org/wiki/Syracuse_University","Active","3","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-NYSigmaLinks-3","[","]","","","Syracuse, NY","https://en.wikipedia.org/wiki/Syracuse,_NY"
"Theta Omicron","March 23, 1979","Towson University","https://en.wikipedia.org/wiki/Towson_University","Active","","","","","","","Baltimore County, MD","https://en.wikipedia.org/wiki/Baltimore_County,_MD"
"Theta Tau","","Montgomery College","https://en.wikipedia.org/wiki/Montgomery_College","Active","","","","","","","Montgomery County, MD","https://en.wikipedia.org/wiki/Montgomery_County,_MD"
"Theta Phi","","Niagara Citywide","","Active","3","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-NYSigmaLinks-3","[","]","","","Niagara, NY","https://en.wikipedia.org/wiki/Niagara,_NY"
"Theta Psi","May 15th, 1977","Rowan University","https://en.wikipedia.org/wiki/Rowan_University","Active","","","","","","","",""
"Iota Gamma","October 16, 1977","Bucknell University","https://en.wikipedia.org/wiki/Bucknell_University","Active","","","","","","","Lewisburg, PA","https://en.wikipedia.org/wiki/Lewisburg,_PA"
"Iota Omicron","1978","Johns Hopkins University","https://en.wikipedia.org/wiki/Johns_Hopkins_University","Active","","","","","","","Baltimore, MD","https://en.wikipedia.org/wiki/Baltimore,_MD"
"Iota Upsilon","","Brown University","https://en.wikipedia.org/wiki/Brown_University","Active","","","","","","","Providence, RI","https://en.wikipedia.org/wiki/Providence,_RI"
"Iota Phi","1977","Rochester Institute of Technology","https://en.wikipedia.org/wiki/Rochester_Institute_of_Technology","Active","3","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-NYSigmaLinks-3","[","]","","","Rochester, NY","https://en.wikipedia.org/wiki/Rochester,_NY"
"Kappa Beta","1978","Frostburg State University","https://en.wikipedia.org/wiki/Frostburg_State_University","Active","","","","","","","Frostburg, MD","https://en.wikipedia.org/wiki/Frostburg,_MD"
"Kappa Epsilon","1978","Montclair State University","https://en.wikipedia.org/wiki/Montclair_State_University","Active","","","","","","","Montclair, NJ","https://en.wikipedia.org/wiki/Montclair,_NJ"
"Kappa Eta","1978","University of Delaware","https://en.wikipedia.org/wiki/University_of_Delaware","Active","5","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-USFedNews-5","[","]","","","Newark, DE","https://en.wikipedia.org/wiki/Newark,_DE"
"Kappa Mu","1978","/","","Active","","","","","Mansfield University of Pennsylvania","https://en.wikipedia.org/wiki/Mansfield_University_of_Pennsylvania","Mansfield, PA","https://en.wikipedia.org/wiki/Mansfield,_PA"
"Kappa Nu","","Community College of Baltimore County","https://en.wikipedia.org/wiki/Community_College_of_Baltimore_County","Active","","","","","","","Baltimore County, MD","https://en.wikipedia.org/wiki/Baltimore_County,_MD"
"Kappa Xi","1979","Cornell University","https://en.wikipedia.org/wiki/Cornell_University","Active","3","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-NYSigmaLinks-3","[","]","","","Ithaca, NY","https://en.wikipedia.org/wiki/Ithaca,_NY"
"Lambda","May 9, 1921","Virginia Union University","https://en.wikipedia.org/wiki/Virginia_Union_University","Active","","","","","","","Richmond, VA","https://en.wikipedia.org/wiki/Richmond,_VA"
"Lambda Chi","1979","Bloomfield College","https://en.wikipedia.org/wiki/Bloomfield_College","Active","","","","","","","Bloomfield, NJ","https://en.wikipedia.org/wiki/Bloomfield,_NJ"
"Lambda Lambda","1979","","","Active","","","","","Penn State University","https://en.wikipedia.org/wiki/Penn_State_University","State College, PA","https://en.wikipedia.org/wiki/State_College,_PA"
"Lambda Mu","1979","Indiana University of Pennsylvania","https://en.wikipedia.org/wiki/Indiana_University_of_Pennsylvania","Active","","","","","","","Indiana County, PA","https://en.wikipedia.org/wiki/Indiana_County,_PA"
"Lambda Rho","January 20, 1980","","","Active","3","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-NYSigmaLinks-3","[","]","St. John's University","https://en.wikipedia.org/wiki/St._John%27s_University_(New_York)","Queens, NY","https://en.wikipedia.org/wiki/Queens,_NY"
"Lambda Upsilon","1980","","","Active","","","","","West Chester University of Pennsylvania","https://en.wikipedia.org/wiki/West_Chester_University_of_Pennsylvania","West Chester, PA","https://en.wikipedia.org/wiki/West_Chester,_PA"
"Lambda Phi","1980","SUNY-Old Westbury","https://en.wikipedia.org/wiki/State_University_of_New_York_at_Old_Westbury","Suspended","3","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-NYSigmaLinks-3","[","]","","","Old Westbury, NY","https://en.wikipedia.org/wiki/Old_Westbury,_NY"
"Mu","May 11, 1922","Lincoln University","https://en.wikipedia.org/wiki/Lincoln_University_(Pennsylvania)","Active","9","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-9","[","]","","","Chester County, PA","https://en.wikipedia.org/wiki/Chester_County,_PA"
"Mu Alpha","","Fitchburg State University","https://en.wikipedia.org/wiki/Fitchburg_State_University","Active","","","","","","","Fitchburg, MA","https://en.wikipedia.org/wiki/Fitchburg,_MA"
"Mu Beta","","Central Connecticut State University","https://en.wikipedia.org/wiki/Central_Connecticut_State_University","Active","","","","","","","New Britain, CT","https://en.wikipedia.org/wiki/New_Britain,_CT"
"Mu Delta","1980","Stony Brook University","https://en.wikipedia.org/wiki/Stony_Brook_University","Active","3","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-NYSigmaLinks-3","[","]","","","Stony Brook, NY","https://en.wikipedia.org/wiki/Stony_Brook,_NY"
"Mu Zeta","1980","","","Active","","","","","Rutgers – New Brunswick","https://en.wikipedia.org/wiki/Rutgers_%E2%80%93_New_Brunswick","New Brunswick, NJ","https://en.wikipedia.org/wiki/New_Brunswick,_NJ"
"Mu Iota","1980","","","Active","10","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-10","[","]","SUNY-Albany","https://en.wikipedia.org/wiki/SUNY-Albany","Albany, NY","https://en.wikipedia.org/wiki/Albany,_NY"
"Mu Nu","May 15, 1980","Virginia Tech University","https://en.wikipedia.org/wiki/Virginia_Tech","Active","4","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-familylinks-4","[","]","","","Blacksburg, VA","https://en.wikipedia.org/wiki/Blacksburg,_VA"
